Date,Close/Last,Volume,Open,High,Low
08/15/2014,195.72,139865800,196.47,196.65,194.31
08/14/2014,195.76,57192040,195.16,195.76,194.98
08/13/2014,194.84,68917050,194.29,195.06,193.96
08/12/14,193.53,73575610,193.61,194.15,192.94
08/11/14,193.795,74426250,193.965,194.66,193.71
08/08/14,193.24,114867300,191.46,193.37,190.95
08/07/14,191.03,135504400,192.935,193.13,190.55
08/06/14,192.07,94623780,191.11,192.89,191.08
08/05/14,192.01,152514900,193.1,193.6,191.31
08/04/14,193.89,90973750,192.87,194.3,192.05
08/01/14,192.5,189017400,192.56,193.76,191.57
07/31/2014,193.09,182368000,195.61,195.78,192.97
07/30/2014,196.98,104066800,197.65,197.91,196.16
07/29/2014,196.95,80364470,198.17,198.45,196.92
07/28/2014,197.8,69081970,197.76,198.09,196.62
07/25/2014,197.72,76774590,198.09,198.26,197.33
07/24/2014,198.65,56372600,198.83,199.06,198.45
07/23/2014,198.64,61583850,198.495,198.85,198.1
07/22/2014,198.2,67490070,198.01,198.56,197.87
07/21/2014,197.34,67465850,197.09,197.5,196.43
07/18/2014,197.7099,124236300,196.35,197.91,196.24
07/17/2014,195.71,144249500,197.35,198.1,195.43
07/16/2014,197.96,79967700,198.11,198.26,197.42
07/15/2014,197.23,111294600,197.72,198.1,196.36
07/14/2014,197.6,58562590,197.61,197.86,197.44
07/11/14,196.61,63448170,196.22,196.75,195.78
07/10/14,196.34,98825290,195.22,196.86,195.06
07/09/14,197.12,72921900,196.73,197.295,196.31
07/08/14,196.24,108050700,197.15,197.22,195.76
